PBO Station Position Time Series.,,,,,,,
Format Version, 1.2.0,,,,,,
Reference Frame, IGS08,,,,,,
4-character ID, P316,,,,,,
Station name, RequaYurokCN2006,,,,,,
Begin Date, 2006-07-01,,,,,,
End Date, 2017-03-20,,,,,,
Release Date, 2017-03-22,,,,,,
Source file, P316.pbo.igs08.pos,,,,,,
Offset from source file, -3.66 mm North, -46.25 mm East, -3.42 mm Vertical,,,,
Reference position, 41.5591334341 North Latitude, -124.0861440056 East Longitude, 234.98198 meters elevation,,,,
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality
2006-07-01,0,0,0,2.1,1.67,7.42, repro
2006-07-02,-1.3,-0.32,3.03,2.01,1.61,7.11, repro
2006-07-03,-1.16,-2.33,-10.7,1.98,1.6,7.05, repro
2006-07-04,-3.02,-0.47,-0.63,2.03,1.62,7.17, repro
2006-07-05,-3.73,-0.55,-2.67,1.97,1.58,6.97, repro
2006-07-06,-0.99,-0.81,-0.56,1.82,1.47,6.45, repro
2006-07-07,-1.03,-0.54,-3.39,1.86,1.49,6.55, repro
2006-07-08,-0.96,-1.77,0.56,1.9,1.53,6.73, repro
2006-07-09,-0.91,-1.38,2.33,2,1.61,7.1, repro
2006-07-10,-1.51,-1.47,4.78,1.99,1.6,7.1, repro
2006-07-11,-2.41,-1.57,7.13,1.89,1.55,6.82, repro
2006-07-12,-1.87,-1.27,1.54,1.96,1.58,7.01, repro
2006-07-13,-1.4,-1.03,2.16,1.86,1.51,6.67, repro
2006-07-14,-0.88,-0.66,4.14,2.13,1.7,7.63, repro
2006-07-15,-0.56,-1.15,5.32,2.01,1.63,7.25, repro
2006-07-16,-1.47,-1.44,0.07,2.01,1.62,7.25, repro
2006-07-17,-1.12,-0.93,1.64,1.91,1.56,6.93, repro
2006-07-18,-1.81,-1.44,5.68,1.78,1.45,6.39, repro
2006-07-19,-1,-1.49,3.41,1.91,1.55,6.82, repro
2006-07-20,-1.24,-0.9,2.14,2.01,1.62,7.16, repro
2006-07-21,-0.68,-0.67,5.17,1.94,1.59,6.96, repro
2006-07-22,-1.77,-2.15,2.32,2.06,1.68,7.39, repro
2006-07-23,-1.48,-0.5,9.43,1.96,1.62,7.06, repro
2006-07-24,-0.65,-1.07,6.05,1.95,1.6,6.98, repro
2006-07-25,-1.24,-0.82,6.14,2.13,1.74,7.57, repro
2006-07-26,-0.99,-2.14,7.53,2.19,1.76,7.78, repro
2006-07-27,-0.98,-2.74,4.44,1.88,1.56,6.75, repro
2006-07-28,-1.85,-1.31,1.58,2.09,1.7,7.48, repro
2006-07-29,-0.7,-2.82,-0.18,1.89,1.58,6.8, repro
2006-07-30,0.37,-2.49,1.23,1.85,1.54,6.67, repro
2006-07-31,-1.44,-2.53,8.03,1.82,1.52,6.6, repro
2006-08-01,-1.35,-1.59,2.97,1.75,1.47,6.3, repro
2006-08-02,-0.57,-2.33,2.29,1.84,1.53,6.69, repro
2006-08-03,-1.5,-1.86,0.85,1.87,1.56,6.78, repro
2006-08-04,-1,-2.23,2.34,1.93,1.62,6.98, repro
2006-08-05,-1.9,-2.7,6.71,1.79,1.49,6.52, repro
2006-08-06,-2.05,-4.4,12.22,1.97,1.65,7.12, repro
2006-08-07,-0.77,-2.81,12.83,2.24,1.8,8.13, repro
2006-08-08,0.25,-3.48,4.77,2.01,1.65,7.21, repro
2006-08-09,-2.34,-2.31,7.95,1.9,1.56,6.86, repro
2006-08-10,-1.73,-5.19,2.89,1.96,1.58,7, repro
2006-08-11,-2.78,-2.88,4.33,1.96,1.59,6.99, repro
2006-08-12,-2.81,-2.97,3.28,1.79,1.48,6.48, repro
2006-08-13,-2.47,-3.01,4.53,1.78,1.46,6.47, repro
2006-08-14,-3.04,-4.22,9.75,1.67,1.39,6.13, repro
2006-08-15,-2.12,-4.49,10.03,2.08,1.66,7.34, repro
2006-08-16,-2.08,-3.44,5.13,1.77,1.45,6.37, repro
2006-08-17,-3.04,-3.23,6.39,1.67,1.37,6.07, repro
2006-08-18,-1.98,-3.25,3.71,1.78,1.46,6.4, repro
2006-08-19,-1.76,-4.06,5.11,1.78,1.47,6.42, repro
2006-08-20,-1.35,-4.37,13.66,1.88,1.56,6.82, repro
2006-08-21,-3.56,-3.94,6.48,1.76,1.47,6.36, repro
2006-08-22,-2.83,-3.89,11.21,1.8,1.5,6.52, repro
2006-08-23,-1.84,-2.6,12.25,1.84,1.54,6.67, repro
2006-08-24,-2.01,-3.07,9.22,1.76,1.48,6.44, repro
2006-08-25,-2.27,-3.65,9.18,1.74,1.48,6.39, repro
2006-08-26,-2.42,-3.67,13.18,1.71,1.48,6.33, repro
2006-08-27,-2.06,-4.69,8.84,1.75,1.49,6.41, repro
2006-08-28,-2.85,-3.61,11.41,1.77,1.51,6.54, repro
2006-08-29,-0.65,-5.35,3.62,1.91,1.61,6.94, repro
2006-08-30,-1.35,-4.61,6.39,1.9,1.62,6.99, repro
2006-08-31,-2.49,-4.31,3.45,1.81,1.57,6.59, repro
2006-09-01,-2.96,-4.68,3.7,1.85,1.59,6.79, repro
2006-09-02,-2.12,-3.87,7.06,1.77,1.52,6.49, repro
2006-09-03,-2.77,-5.12,7.9,1.81,1.55,6.6, repro
2006-09-04,-2.27,-4.7,4.36,1.73,1.49,6.38, repro
2006-09-05,-2.43,-3.92,1.87,1.87,1.57,6.76, repro
2006-09-06,-2.73,-3.54,4.14,1.87,1.59,6.86, repro
2006-09-07,-3.33,-5.01,7.84,1.76,1.51,6.49, repro
2006-09-08,-1.69,-5.19,12.27,1.93,1.64,7.09, repro
2006-09-09,-3.03,-5,8.21,1.94,1.63,7, repro
2006-09-10,-2.58,-5.46,11.47,1.88,1.6,6.82, repro
2006-09-11,-3.2,-5.15,10.71,1.83,1.54,6.61, repro
2006-09-12,-3.22,-4.39,8.84,1.76,1.49,6.36, repro
2006-09-13,-2.37,-5.06,11.98,1.73,1.46,6.27, repro
2006-09-14,-3.45,-5.42,12.46,2.02,1.68,7.21, repro
2006-09-15,-3.55,-7.23,12.73,1.92,1.59,6.83, repro
2006-09-16,-3.49,-6.53,9.05,1.84,1.52,6.48, repro
2006-09-17,-2.82,-4.21,12.91,1.86,1.55,6.63, repro
2006-09-18,-2.82,-5.9,11.09,2.14,1.74,7.58, repro
2006-09-19,-2.73,-6.38,4.17,1.72,1.42,6.08, repro
2006-09-20,-2.66,-4.72,7.29,1.81,1.51,6.47, repro
2006-09-21,-3.7,-5.92,13.43,1.88,1.56,6.7, repro
2006-09-22,-2.9,-5.98,14.59,1.87,1.55,6.64, repro
2006-09-23,-2.83,-4.36,10.03,1.82,1.5,6.45, repro
2006-09-24,-2.82,-5.52,8.48,1.77,1.45,6.19, repro
2006-09-25,-2.37,-5.89,6.64,1.73,1.42,6.09, repro
2006-09-26,-1.98,-6.16,8.66,1.74,1.42,6.1, repro
2006-09-27,-2.82,-5.95,7.84,1.73,1.42,6.08, repro
2006-09-28,-2.96,-5.6,11.89,1.71,1.41,6.06, repro
2006-09-29,-2.99,-6.21,11.92,1.69,1.4,6.07, repro
2006-09-30,-2.2,-5.9,11.88,1.64,1.36,5.91, repro
2006-10-01,-3.37,-6.47,14.28,1.68,1.35,5.93, repro
2006-10-02,-2.32,-5.15,11.49,1.83,1.52,6.55, repro
2006-10-03,-2.64,-5.1,12.34,1.73,1.44,6.17, repro
2006-10-04,-2.67,-5.28,8.02,1.85,1.52,6.59, repro
2006-10-05,-3.28,-5.48,5.08,1.87,1.52,6.67, repro
2006-10-06,-1.62,-7.05,10.06,2.16,1.74,7.68, repro
2006-10-07,-3.11,-6.51,6.66,1.7,1.38,6.02, repro
2006-10-08,-3,-5.62,6.87,1.73,1.42,6.19, repro
2006-10-09,-3.83,-6.13,7.28,1.88,1.55,6.63, repro
2006-10-10,-4,-6.81,8.29,1.78,1.48,6.3, repro
2006-10-11,-4.2,-5.74,10.35,1.71,1.42,6.14, repro
2006-10-12,-3.03,-6.57,14.94,1.76,1.49,6.26, repro
2006-10-13,-3.37,-6.34,14.94,1.6,1.35,5.8, repro
2006-10-14,-3.25,-6.2,13.51,1.68,1.44,6.07, repro
2006-10-15,-4.03,-6.18,13.71,1.88,1.59,6.77, repro
2006-10-16,-2.42,-4.75,22.46,1.89,1.59,6.91, repro
2006-10-17,-3.96,-6.18,19.24,1.71,1.45,6.22, repro
2006-10-18,-2.6,-5.38,13.27,1.71,1.41,6.13, repro
2006-10-19,-3.74,-5.02,7.62,1.83,1.55,6.71, repro
2006-10-20,-4.04,-4.83,8.98,1.72,1.45,6.34, repro
2006-10-21,-3.15,-5.52,8.29,1.72,1.43,6.23, repro
2006-10-22,-3.68,-6.66,9.49,1.64,1.37,5.94, repro
2006-10-23,-3.27,-7.66,9.07,1.95,1.62,6.99, repro
2006-10-24,-2.75,-7.13,11.93,1.8,1.47,6.37, repro
2006-10-25,-3.42,-6.34,11.82,1.78,1.51,6.47, repro
2006-10-26,-2.72,-6.12,7.39,1.64,1.4,5.97, repro
2006-10-27,-3.09,-5.63,7.95,1.62,1.36,5.84, repro
2006-10-28,-2.96,-6.44,7.01,1.71,1.42,6.13, repro
2006-10-29,-3.46,-7.01,10.33,1.63,1.37,5.89, repro
2006-10-30,-3.77,-6.07,10.73,1.66,1.37,5.98, repro
2006-10-31,-3.48,-5.6,7.63,1.69,1.4,6.08, repro
2006-11-01,-2.92,-5.98,11.97,1.75,1.45,6.31, repro
2006-11-02,-3.59,-8.17,6.05,1.99,1.62,7.15, repro
2006-11-03,-2.75,-6.35,9.44,2.19,1.75,7.83, repro
2006-11-04,-3.06,-6.38,8.87,1.99,1.66,7.15, repro
2006-11-05,-3.19,-6.31,10.49,1.97,1.6,7.04, repro
2006-11-06,-3.14,-6.68,9.16,1.89,1.55,6.82, repro
2006-11-07,-2.73,-6.41,16.09,2.1,1.69,7.45, repro
2006-11-08,-1.5,-6.81,11.16,2.03,1.64,7.23, repro
2006-11-09,-2.25,-5.74,10.12,1.98,1.6,7.02, repro
2006-11-10,-2.44,-6.65,6.63,1.87,1.51,6.64, repro
2006-11-11,-2.44,-6.05,11.44,1.97,1.59,6.94, repro
2006-11-12,-2.27,-6.51,4.99,1.81,1.45,6.43, repro
2006-11-13,-2.42,-6.61,14.04,2.2,1.74,7.68, repro
2006-11-14,-4.74,-5.73,8.42,1.89,1.52,6.72, repro
2006-11-15,-2.51,-6.5,5.47,1.74,1.42,6.26, repro
2006-11-16,-3.61,-6.56,15.35,2.05,1.66,7.3, repro
2006-11-17,-2.7,-7.4,7.02,1.75,1.44,6.23, repro
2006-11-18,-2.09,-6.5,3.11,1.77,1.46,6.34, repro
2006-11-19,-2.58,-6.8,6.27,2,1.63,7.14, repro
2006-11-20,-3.18,-7.65,5.09,1.87,1.54,6.72, repro
2006-11-21,-2.72,-7.58,6,1.86,1.52,6.66, repro
2006-11-22,-2.76,-6.06,8.18,1.97,1.61,7.05, repro
2006-11-23,-2.55,-6.31,5.21,2.05,1.67,7.38, repro
2006-11-24,-2.56,-7.52,-0.05,1.74,1.43,6.24, repro
2006-11-25,-2.35,-7.29,1.13,1.79,1.47,6.37, repro
2006-11-26,-3.28,-6.74,1.99,1.83,1.49,6.49, repro
2006-11-27,-2.37,-6.8,5.55,1.83,1.5,6.56, repro
2006-11-28,-2.42,-6.9,6.16,1.82,1.48,6.53, repro
2006-11-29,-2.28,-6.12,5.66,1.7,1.4,6.08, repro
2006-11-30,-1.54,-5.93,2.07,1.85,1.51,6.59, repro
2006-12-01,-2.82,-6.48,2.29,1.81,1.48,6.48, repro
2006-12-02,-2.74,-7.18,-5.48,1.71,1.4,6.14, repro
2006-12-03,-2.73,-6.62,0.22,1.71,1.4,6.13, repro
2006-12-04,-2.41,-7.12,0.45,1.8,1.48,6.39, repro
2006-12-05,-1.51,-6.37,1.61,1.79,1.48,6.36, repro
2006-12-06,-2.64,-7.16,1.3,1.75,1.44,6.2, repro
2006-12-07,-2.02,-7.66,6.5,1.84,1.52,6.56, repro
2006-12-08,-2.7,-8.29,10,1.82,1.54,6.56, repro
2006-12-09,-2.72,-8.88,11.32,1.84,1.53,6.59, repro
2006-12-10,-2.05,-8.86,9.39,2.03,1.67,7.26, repro
2006-12-11,-2.98,-7.33,8.89,1.79,1.46,6.37, repro
2006-12-12,-2.79,-7.53,8.5,1.88,1.54,6.73, repro
2006-12-13,-2.6,-6.87,8.63,1.94,1.62,7.07, repro
2006-12-14,-1.98,-6.65,5.49,1.77,1.48,6.5, repro
2006-12-15,-3.44,-8.1,12.41,2.07,1.68,7.3, repro
2006-12-16,-1.67,-8.09,-1.35,1.74,1.47,6.29, repro
2006-12-17,-2.29,-8.91,-0.89,1.61,1.37,5.9, repro
2006-12-18,-2.31,-6.81,2.91,1.63,1.39,5.96, repro
2006-12-19,-2.11,-6.13,6.07,1.77,1.53,6.43, repro
2006-12-20,-1.33,-7.35,4.91,1.79,1.5,6.48, repro
2006-12-21,-3.25,-8.23,8.94,1.92,1.63,6.96, repro
2006-12-22,-2.44,-6.88,4.31,1.66,1.4,6.04, repro
2006-12-23,-3.12,-7.26,8.95,1.93,1.62,7.01, repro
2006-12-24,-2.72,-6.86,1.81,1.75,1.49,6.42, repro
2006-12-25,-2.98,-8.16,5.06,1.75,1.49,6.4, repro
2006-12-26,-2.03,-8.04,9.62,2.16,1.8,7.85, repro
2006-12-27,-1.88,-8.22,5.36,2.09,1.78,7.7, repro
2006-12-28,-1.81,-7.49,-1.26,1.63,1.37,5.93, repro
2006-12-29,-2.14,-7.91,-4.87,1.78,1.47,6.43, repro
2006-12-30,-1.45,-7.53,1.41,1.75,1.45,6.35, repro
2006-12-31,-2.69,-8.11,-8.22,1.79,1.48,6.43, repro
2007-01-01,-2.89,-8.29,-9.18,1.69,1.4,6.14, repro
2007-01-02,-2.66,-7.94,4.9,1.84,1.56,6.73, repro
2007-01-03,-2.17,-8.16,10.49,1.67,1.42,6.15, repro
2007-01-04,-1.53,-8.69,4.91,1.83,1.55,6.68, repro
2007-01-05,-2.28,-7.83,-0.29,1.62,1.4,5.98, repro
2007-01-06,-1.81,-6.75,-1.53,1.73,1.5,6.39, repro
2007-01-07,-2.43,-7.47,-5,1.71,1.46,6.17, repro
2007-01-08,-3.43,-7.83,-7.51,1.65,1.39,5.89, repro
2007-01-09,-2.48,-7.61,-9.14,1.62,1.37,5.83, repro
2007-01-10,-2.12,-7.86,0.82,1.93,1.6,6.81, repro
2007-01-11,-2.18,-9.3,-0.53,1.71,1.43,6.1, repro
2007-01-12,-2.98,-9.22,-4.3,1.54,1.31,5.57, repro
2007-01-13,-2.5,-8.5,-6.69,1.63,1.39,5.89, repro
2007-01-14,-2.03,-8.59,-7.68,1.63,1.38,5.8, repro
2007-01-15,-2.26,-8.63,-7.86,1.61,1.37,5.75, repro
2007-01-16,-2.16,-9.19,-4.23,1.84,1.54,6.54, repro
2007-01-17,-3.35,-9,-5.9,1.72,1.45,6.14, repro
2007-01-18,-2.7,-8.48,-6.41,1.68,1.43,6.07, repro
2007-01-19,-2.77,-9.05,-6.37,1.78,1.49,6.43, repro
2007-01-20,-2.3,-9.02,-1.66,1.7,1.44,6.11, repro
2007-01-21,-3.24,-9.15,3.32,1.58,1.34,5.68, repro
2007-01-22,-2.9,-8.26,-1.7,1.65,1.41,5.91, repro
2007-01-23,-3.71,-8.22,-3.54,1.67,1.42,5.97, repro
2007-01-24,-3.28,-8.57,-8.72,1.69,1.43,6.03, repro
2007-01-25,-3.11,-9.67,0.15,1.62,1.39,5.78, repro
2007-01-26,-2.59,-9.84,0.97,1.66,1.4,5.89, repro
2007-01-27,-2.83,-9.13,-0.67,1.7,1.44,6.04, repro
2007-01-28,-3.52,-9.08,-2.1,1.65,1.4,5.82, repro
2007-01-29,-3.06,-8.16,-4.15,1.67,1.41,5.92, repro
2007-01-30,-3.53,-9.53,-1.68,1.73,1.44,6.11, repro
2007-01-31,-2.71,-9.23,8.5,1.69,1.41,5.91, repro
2007-02-01,-3.31,-8.61,0.97,1.67,1.41,5.91, repro
2007-02-02,-3.19,-8.47,-0.08,1.65,1.38,5.84, repro
2007-02-03,-3.23,-9.05,-2.81,1.75,1.46,6.19, repro
2007-02-04,-3.22,-8.4,1.19,1.92,1.59,6.83, repro
2007-02-05,-2.7,-8.74,0.28,1.81,1.5,6.35, repro
2007-02-06,-2.35,-8.15,-1.84,1.92,1.59,6.73, repro
2007-02-07,-4,-9.39,2.82,1.94,1.61,6.86, repro
2007-02-08,-2.59,-9.33,3.56,1.76,1.48,6.34, repro
2007-02-09,-3.23,-8.31,-2.99,1.91,1.59,6.77, repro
2007-02-10,-2.65,-9.16,5.91,1.94,1.59,6.87, repro
2007-02-11,-3.88,-8.22,7.95,1.84,1.52,6.53, repro
2007-02-12,-2.62,-9.26,2.34,1.76,1.46,6.21, repro
2007-02-13,-3.02,-8.15,-0.01,1.67,1.4,5.85, repro
2007-02-14,-3.35,-7.81,-4.11,1.7,1.42,5.94, repro
2007-02-15,-2.27,-6.96,-3.96,1.82,1.53,6.46, repro
2007-02-16,-2.96,-7.93,0.1,1.73,1.45,6.12, repro
2007-02-17,-3.32,-7.64,1.09,1.76,1.48,6.22, repro
2007-02-18,-2.74,-8.66,4.65,1.81,1.52,6.4, repro
2007-02-19,-3.4,-8.91,9.89,1.55,1.31,5.53, repro
2007-02-20,-2.35,-9,12.07,1.68,1.4,6.03, repro
2007-02-21,-3.34,-8.83,6.66,1.81,1.51,6.41, repro
2007-02-22,-3.29,-8.99,5.34,1.7,1.43,6.07, repro
2007-02-23,-2.67,-8.86,-1.73,1.75,1.46,6.23, repro
2007-02-24,-2.72,-9.53,-2.32,1.78,1.49,6.33, repro
2007-02-25,-2.63,-9.33,3.75,1.89,1.58,6.69, repro
2007-02-26,-3.41,-9.06,6.94,1.73,1.45,6.14, repro
2007-02-27,-4.58,-8.07,0.77,1.85,1.54,6.58, repro
2007-02-28,-4.38,-7.8,5.09,1.84,1.55,6.51, repro
2007-03-01,-3.81,-8.28,4.33,1.64,1.41,5.87, repro
2007-03-02,-4.05,-8.24,3.04,1.77,1.5,6.27, repro
2007-03-03,-3.8,-8.14,-2.19,1.59,1.35,5.68, repro
2007-03-04,-3.04,-7.87,-0.22,1.62,1.38,5.75, repro
2007-03-05,-3.29,-7.85,0.24,1.71,1.45,6.06, repro
2007-03-06,-3.77,-8.69,-2.52,1.64,1.39,5.85, repro
2007-03-07,-4.42,-8.19,9.16,1.91,1.6,6.76, repro
2007-03-08,-3.81,-9.21,4.85,1.64,1.41,5.88, repro
2007-03-09,-3.64,-8.96,3.48,1.78,1.5,6.32, repro
2007-03-10,-1.32,-9.65,5.33,1.78,1.49,6.26, repro
2007-03-11,-3.42,-8.75,-1.92,1.63,1.39,5.8, repro
2007-03-12,-4.89,-9.39,-0.51,1.77,1.49,6.21, repro
2007-03-13,-4.4,-9.4,4.26,1.72,1.46,6.08, repro
2007-03-14,-4.25,-8.68,5.41,1.77,1.52,6.22, repro
2007-03-15,-3.52,-8.9,-0.16,1.71,1.45,5.97, repro
2007-03-16,-3.79,-9.02,0.17,1.68,1.42,5.86, repro
2007-03-17,-4.73,-9.44,5.44,1.81,1.52,6.33, repro
2007-03-18,-5.18,-8.17,10.05,1.84,1.54,6.41, repro
2007-03-19,-4.18,-9.01,11.04,1.81,1.52,6.33, repro
2007-03-20,-4.9,-8.91,12.47,1.79,1.48,6.14, repro
2007-03-21,-4.64,-10.62,11.14,1.66,1.4,5.83, repro
2007-03-22,-4.23,-9.85,5.26,1.73,1.46,6.1, repro
2007-03-23,-3.79,-9.42,6.22,1.82,1.52,6.37, repro
2007-03-24,-4.19,-9.88,10.37,1.8,1.51,6.31, repro
2007-03-25,-3.99,-10.11,9.1,1.75,1.47,6.11, repro
2007-03-26,-4.51,-10.68,4.74,1.83,1.52,6.5, repro
2007-03-27,-5.01,-9.48,9.97,1.88,1.57,6.66, repro
2007-03-28,-5.25,-9.71,3.57,1.63,1.37,5.78, repro
2007-03-29,-4.06,-9.24,-2.18,1.62,1.38,5.73, repro
2007-03-30,-3.65,-9.7,-1.61,1.74,1.46,6.14, repro
2007-03-31,-5.37,-9.93,3.48,1.79,1.5,6.29, repro
2007-04-01,-3.89,-8.87,4.12,1.78,1.5,6.26, repro
2007-04-02,-4.76,-10.84,3.24,1.68,1.41,5.92, repro
2007-04-03,-4.85,-10.06,0.27,1.74,1.46,6.12, repro
2007-04-04,-3.89,-10.31,3.22,1.82,1.51,6.41, repro
2007-04-05,-4.38,-9.75,1.86,1.6,1.35,5.65, repro
2007-04-06,-3.87,-10.58,0.42,1.78,1.48,6.2, repro
2007-04-07,-3.75,-11.15,0.9,1.9,1.58,6.7, repro
2007-04-08,-4.74,-10.11,4.07,1.89,1.55,6.6, repro
2007-04-09,-3.48,-10.18,5.79,1.92,1.58,6.73, repro
2007-04-10,-3.59,-9.8,3.64,1.67,1.4,5.89, repro
2007-04-11,-2.76,-10.59,7.14,1.89,1.54,6.56, repro
2007-04-12,-2.63,-10.55,4.4,1.8,1.47,6.33, repro
2007-04-13,-3.67,-9.48,2.34,1.63,1.34,5.76, repro
2007-04-14,-3.95,-9.56,5.99,1.95,1.58,6.8, repro
2007-04-15,-2.97,-9.86,3.85,1.64,1.35,5.77, repro
2007-04-16,-4.64,-10.2,4.37,1.71,1.4,6.03, repro
2007-04-17,-4.1,-10.47,0.97,1.83,1.48,6.42, repro
2007-04-18,-4.87,-11.19,0.77,1.73,1.41,6.12, repro
2007-04-19,-4.25,-10.52,3.06,1.61,1.32,5.69, repro
2007-04-20,-4.3,-10.81,6.56,1.6,1.32,5.66, repro
2007-04-21,-4.08,-11.18,5.09,1.69,1.38,5.95, repro
2007-04-22,-3.62,-10.7,6.37,1.79,1.45,6.23, repro
2007-04-23,-4,-10.74,1.46,1.68,1.36,5.88, repro
2007-04-24,-3.8,-11.11,-1.93,1.9,1.51,6.48, repro
2007-04-25,-2.66,-11.45,0.03,1.79,1.43,6.11, repro
2007-04-26,-3.09,-10.37,0.15,1.79,1.44,6.18, repro
2007-04-27,-4.41,-9.75,1.28,1.73,1.39,5.98, repro
2007-04-28,-3.29,-10.41,-2.05,1.85,1.5,6.48, repro
2007-04-29,-4.34,-10.86,-0.34,1.97,1.57,6.81, repro
2007-04-30,-3.68,-10.02,-3,1.76,1.42,6.1, repro
2007-05-01,-4.25,-12.23,2.26,1.85,1.48,6.43, repro
2007-05-02,-4.36,-11.13,0.17,2.17,1.68,7.54, repro
2007-05-03,-3.31,-10.45,3.35,1.85,1.46,6.43, repro
2007-05-04,-3.46,-12.02,-1.82,1.7,1.36,5.91, repro
2007-05-05,-4.04,-11.42,-1.71,1.67,1.35,5.88, repro
2007-05-06,-3.04,-10.26,-3.1,1.87,1.49,6.52, repro
2007-05-07,-3.62,-12.51,0.41,1.74,1.41,6.07, repro
2007-05-08,-4.08,-12.35,-2.22,1.75,1.42,6.09, repro
2007-05-09,-3.54,-11.64,-6.51,1.8,1.43,6.29, repro
2007-05-10,-3.89,-11.09,-6.79,1.8,1.44,6.3, repro
2007-05-11,-3.18,-11.99,-6.11,1.82,1.46,6.36, repro
2007-05-12,-4.04,-10.94,-4.23,1.8,1.45,6.26, repro
2007-05-13,-3.65,-10.71,-4.42,1.72,1.4,5.97, repro
2007-05-14,-3.97,-10.7,-2.4,1.73,1.41,5.98, repro
2007-05-15,-3.82,-11.35,-4.28,1.76,1.42,6.16, repro
2007-05-16,-3.17,-11.71,-4.28,1.82,1.47,6.27, repro
2007-05-17,-3.39,-11.85,-0.2,1.86,1.49,6.47, repro
2007-05-18,-4.52,-10.47,-0.94,1.93,1.56,6.71, repro
2007-05-19,-3.09,-11.91,-3.14,1.87,1.5,6.47, repro
2007-05-20,-2.96,-11.62,-1.91,1.83,1.48,6.37, repro
2007-05-21,-3.23,-10.78,-5.01,1.82,1.46,6.29, repro
2007-05-22,-2.65,-11.33,-1.12,1.79,1.45,6.2, repro
2007-05-23,-2.93,-12.36,0.29,1.94,1.55,6.72, repro
2007-05-24,-3.55,-12.96,2.85,1.86,1.5,6.47, repro
2007-05-25,-3.8,-12.12,3.81,1.86,1.49,6.45, repro
2007-05-26,-3.54,-11.97,-1.35,1.99,1.64,6.95, repro
2007-05-27,-3.06,-12.28,-2.45,2.11,1.67,7.23, repro
2007-05-28,-3.8,-11.4,-1.52,1.88,1.5,6.47, repro
2007-05-29,-3.98,-12.54,-1.19,1.82,1.47,6.29, repro
2007-05-30,-3.28,-12.71,-5.51,1.93,1.54,6.65, repro
2007-05-31,-2.81,-13.3,-1.91,1.93,1.56,6.69, repro
2007-06-01,-4.61,-12.8,-3.81,1.94,1.56,6.71, repro
2007-06-02,-2.57,-13.16,-2.32,1.88,1.5,6.5, repro
2007-06-03,-3.87,-11.31,-1.58,2.09,1.65,7.2, repro
2007-06-04,-3.45,-12.59,-3.28,2.21,1.75,7.57, repro
2007-06-05,-4.59,-12.63,-2.72,2.09,1.65,7.19, repro
2007-06-06,-3.21,-13.03,-0.22,1.86,1.49,6.42, repro
2007-06-07,-4.36,-12.92,1.66,1.87,1.51,6.47, repro
2007-06-08,-3.98,-12.52,1.62,1.84,1.48,6.33, repro
2007-06-09,-5.14,-13.25,0.98,1.89,1.52,6.51, repro
2007-06-10,-4.99,-13.07,2.05,1.99,1.6,6.91, repro
2007-06-11,-4.03,-12.45,-0.54,1.81,1.5,6.36, repro
2007-06-12,-3.78,-12.51,-1.38,1.86,1.5,6.53, repro
2007-06-13,-3.85,-12.87,-2.16,1.86,1.49,6.39, repro
2007-06-14,-2.81,-13.2,-8.41,1.9,1.51,6.54, repro
2007-06-15,-3.02,-12.94,-4.83,1.95,1.56,6.68, repro
2007-06-16,-3.32,-14.04,-1.74,1.85,1.48,6.39, repro
2007-06-17,-3.32,-12.96,0.59,1.83,1.47,6.33, repro
2007-06-18,-2.61,-12.76,0.4,1.86,1.49,6.45, repro
2007-06-19,-3.58,-12.14,-1.71,1.84,1.48,6.36, repro
2007-06-20,-3.52,-11.94,0.38,1.95,1.56,6.75, repro
2007-06-21,-3.44,-12.69,-0.83,1.82,1.47,6.29, repro
2007-06-22,-3.04,-13.31,1.27,1.81,1.47,6.26, repro
2007-06-23,-2.64,-12.81,-4.76,1.86,1.5,6.44, repro
2007-06-24,-2.71,-13.13,-2.36,1.81,1.47,6.34, repro
2007-06-25,-3.04,-12.51,-2.79,1.87,1.51,6.54, repro
2007-06-26,-3.05,-12.97,-5.62,1.81,1.46,6.31, repro
2007-06-27,-4,-13.84,-3.98,1.87,1.53,6.6, repro
2007-06-28,-3.24,-13.72,-2.41,1.9,1.53,6.63, repro
2007-06-29,-2.19,-12.33,-7.83,2.05,1.63,7.14, repro
2007-06-30,-4.04,-12.79,0.24,1.88,1.51,6.58, repro
2007-07-01,-2.76,-13.33,-2.64,1.88,1.52,6.6, repro
2007-07-02,-2.6,-12.51,-1.22,1.9,1.52,6.64, repro
2007-07-03,-3.18,-12.59,-2.23,1.87,1.51,6.58, repro
2007-07-04,-2.83,-13.17,-2.52,1.9,1.53,6.65, repro
2007-07-05,-3.08,-12.24,-2.05,1.96,1.58,6.96, repro
2007-07-06,-3.12,-13.6,1.27,1.9,1.56,6.76, repro
2007-07-07,-3.37,-14.23,-1.25,1.96,1.62,6.95, repro
2007-07-08,-4.82,-14.16,4.42,2.03,1.68,7.2, repro
2007-07-09,-4.77,-13.36,-6.17,2.06,1.67,7.23, repro
2007-07-10,-3.86,-14.43,1.18,2.06,1.67,7.27, repro
2007-07-11,-3.04,-12.47,-2.31,2.03,1.65,7.13, repro
2007-07-12,-3.01,-14.13,-1.88,2,1.66,7.12, repro
2007-07-13,-3.95,-15.05,-4.21,1.92,1.6,6.78, repro
